   timestamp          x        y      theta
1572538486.651225 -15.5237045 -2.7982583 177.8729401
1572538487.151224 -15.5272570 -2.9801192 177.6697998
1572538487.617983 -15.5303907 -3.1515045 177.6104889
1572538488.084607 -15.5264568 -3.3184798 177.4535217
1572538488.551359 -15.5349836 -3.4963102 177.4143829
1572538488.984734 -15.5319033 -3.6521397 177.3376312
1572538489.417990 -15.5383501 -3.8186417 177.2248840
1572538490.118118 -15.5355778 -4.0859771 177.0839386
1572538490.784761 -15.5381985 -4.3387747 176.9604340
1572538491.218132 -15.5453558 -4.4967885 176.8610229
1572538491.718126 -15.5445814 -4.6771307 176.8089447
1572538492.151528 -15.5477848 -4.8320560 176.7711792
1572538492.851505 -15.5579605 -5.1015749 176.5285339
1572538493.084884 -15.5575018 -5.1899080 176.4679565
1572538493.484886 -15.5553408 -5.3381085 176.4393768
1572538493.718321 -15.5533953 -5.4202595 176.3845367
1572538494.185016 -15.5497789 -5.6087704 176.2623444
1572538494.651643 -15.5451479 -5.7902746 176.1629791
1572538495.085024 -15.5339003 -5.9577885 176.0583801
1572538495.551674 -15.5133848 -6.1191549 175.5591888
1572538495.985066 -15.4815245 -6.2557988 174.7478333
1572538496.418423 -15.4465637 -6.3922501 173.8329010
1572538496.885158 -15.3934689 -6.5381689 172.6282501
1572538497.318410 -15.3338928 -6.6712866 171.2569427
1572538497.751787 -15.2479801 -6.8114724 169.6149292
1572538498.185186 -15.1672564 -6.9581089 167.6448212
1572538498.618571 -15.0876923 -7.1069527 165.7526550
1572538499.051958 -14.9890766 -7.2230206 164.0530090
1572538499.485295 -14.8920126 -7.3680315 162.3518677
1572538499.718553 -14.8426304 -7.4372864 161.3390961
1572538500.118676 -14.7370672 -7.5736752 159.5986786
1572538500.785304 -14.5788078 -7.7855678 156.7261810
1572538500.985329 -14.5422659 -7.8347855 155.8272552
1572538501.418680 -14.4630375 -7.9351854 154.3997803
1572538501.885441 -14.3578262 -8.0410442 152.9900055
1572538502.318688 -14.2478323 -8.1467991 151.5171661
1572538502.752064 -14.1287222 -8.2505827 149.9873962
1572538503.218843 -13.9961910 -8.3598909 148.2727356
1572538503.618842 -13.8819838 -8.4500904 146.8257141
1572538504.085449 -13.7559175 -8.5492649 145.0796356
1572538504.552202 -13.6384630 -8.6388664 143.4612122
1572538505.018977 -13.5300150 -8.7234945 142.0192566
1572538505.452211 -13.4082165 -8.7955580 140.8321075
1572538505.885580 -13.2873869 -8.9087172 139.0059662
1572538506.518960 -13.1099663 -9.0175104 136.7395630
1572538506.985716 -12.9573269 -9.0968018 135.2604370
1572538507.452366 -12.8070326 -9.1677885 133.7070312
1572538507.885719 -12.6621094 -9.2344875 132.1557617
1572538508.319099 -12.5257998 -9.3055229 130.4923096
1572538508.785724 -12.3558235 -9.3831425 129.0582428
1572538509.219103 -12.1949310 -9.5301876 127.3554001
1572538509.652479 -12.0427313 -9.6239300 126.0326462
1572538510.319232 -11.7936821 -9.7758389 124.4831238
1572538510.585873 -11.7007875 -9.8125553 124.0708466
1572538511.019236 -11.5583820 -9.8957624 123.2549057
1572538511.452616 -11.4096317 -9.9644203 122.7103271
1572538511.885992 -11.2823877 -10.0289001 122.1423264
1572538512.319246 -11.1501217 -10.1066036 121.3972092
1572538512.819378 -10.9796991 -10.1989775 120.5774078
1572538513.252626 -10.8292675 -10.2694092 119.9833908
1572538513.686043 -10.6586990 -10.4045162 118.9765701
1572538514.119380 -10.5160456 -10.4570837 118.4011536
1572538514.586132 -10.3442392 -10.5396128 117.8075180
1572538515.019387 -10.1904449 -10.5710993 117.4417801
1572538515.452765 -10.0722113 -10.6387138 116.9601669
1572538515.886140 -9.8820648 -10.7741985 116.1199493
1572538516.552897 -9.6655102 -10.8606339 115.3358231
1572538517.619529 -9.3165169 -10.9936419 114.0200119
1572538518.086277 -9.1798668 -11.0363503 113.6108017
1572538518.486281 -9.0452757 -11.1016550 113.0922394
1572538519.153034 -8.8273125 -11.1785069 112.5016327
1572538519.586452 -8.6761131 -11.2251453 112.0535660
1572538520.286415 -8.4515619 -11.3025246 111.3841400
1572538520.986418 -8.2270489 -11.3833914 110.7061310
1572538521.886423 -7.9573507 -11.5205946 109.7893066
1572538522.519800 -7.7850232 -11.5685196 109.2799225
1572538523.153183 -7.6016321 -11.6216526 108.8298950
1572538523.819935 -7.4034238 -11.6611023 108.5259323
1572538524.419937 -7.2302828 -11.7075539 108.1765823
1572538525.053317 -7.0362654 -11.7611179 107.7609940
1572538525.686697 -6.8381739 -11.8295975 107.1870804
1572538526.353448 -6.6226377 -11.8781796 106.6236343
1572538526.986703 -6.4236312 -11.9355440 106.1137314
1572538527.653458 -6.1983624 -11.9732771 105.7480240
1572538528.086833 -6.0538969 -12.0199909 105.2283020
1572538528.553460 -5.8962822 -12.0469809 104.9023666
1572538528.986837 -5.7571340 -12.0729103 104.5494080
1572538529.386844 -5.6204214 -12.1049776 104.1215820
1572538529.886967 -5.4545202 -12.1407585 103.6747055
1572538530.353599 -5.3072653 -12.1731348 103.3754501
1572538530.786980 -5.1755400 -12.1973066 103.0448456
1572538531.220357 -5.0379763 -12.2212954 102.7000122
1572538531.686983 -4.8989391 -12.2495708 102.4263229
1572538532.420359 -4.6854038 -12.2889099 101.8094101
1572538533.087112 -4.4820385 -12.3260269 101.2421799
1572538533.753736 -4.2722111 -12.3564367 100.6468658
1572538534.453867 -4.0383554 -12.3875360 99.9284821
1572538534.920540 -3.8830338 -12.4022188 99.4763489
1572538535.387248 -3.7270474 -12.4155760 98.9257278
1572538535.853879 -3.5746877 -12.4281759 98.3985367
1572538536.320641 -3.4218986 -12.4288473 97.7002640
1572538536.854012 -3.2548242 -12.4209280 96.6666870
1572538537.287279 -3.1316245 -12.4052801 95.6597900
1572538537.720639 -3.0164022 -12.3804617 94.5659256
1572538538.154031 -2.8968873 -12.3460522 93.3559570
1572538538.820771 -2.7134988 -12.2861061 91.4309387
1572538539.487414 -2.5785530 -12.2248192 89.5476151
1572538540.154152 -2.4214792 -12.1404467 87.2415848
1572538540.587531 -2.3006134 -12.0711765 85.4458008
1572538541.020924 -2.1728067 -11.9865923 83.4541550
