   timestamp          x          y         theta        diff_angle
1573324345.620344 -1.3369145 -11.5008287 63.4456482 3.6288147
1573324346.087085 -1.1105800 -11.1878204 59.0435028 4.4021454
1573324346.820445 -0.8433828 -10.6915455 51.8244820 7.2190208
1573324347.320436 -0.7167678 -10.3868990 47.5587425 4.2657394
1573324347.787175 -0.6267142 -10.1201591 43.7755928 3.7831497
1573324348.720535 -0.5113568 -9.6126442 37.0238495 6.7517433
1573324349.420559 -0.4572191 -9.2399693 32.2603912 4.7634583
1573324350.120524 -0.4237721 -8.8824568 27.8884754 4.3719158
1573324350.853863 -0.3926158 -8.5289497 24.2299156 3.6585598
1573324351.720599 -0.3622041 -8.1187019 20.4951115 3.7348042
1573324352.653969 -0.3329152 -7.6530027 16.9256630 3.5694485
1573324353.420578 -0.3037536 -7.2790680 14.6396904 2.2859726
1573324354.420695 -0.2547097 -6.7829266 12.2144022 2.4252882
1573324355.187287 -0.2150667 -6.3978014 11.0749683 1.1394339
1573324356.187413 -0.1596814 -5.8978424 9.7652874 1.3096809
1573324356.854013 -0.1270459 -5.5620561 8.8629866 0.9023008
1573324357.554115 -0.0921986 -5.2176228 7.9164438 0.9465427
1573324358.520723 -0.0425189 -4.7418690 7.0483623 0.8680816
1573324359.654097 -0.0004493 -4.2024674 6.3923297 0.6560326
1573324360.587430 0.0032139 -3.7734673 5.3617086 1.0306211
1573324361.954156 -0.0314260 -3.1902158 2.8322802 2.5294285
1573324363.354324 -0.0769791 -2.5803194 0.5698951 2.2623849
1573324364.287611 -0.1014799 -2.1168530 -0.3750947 0.1948005
1573324365.420976 -0.0645203 -1.5565391 0.1410014 0.2340933
1573324366.354326 -0.0317011 -1.0974635 0.6533753 0.5123739
1573324367.287679 -0.0224431 -0.6573848 0.4138428 0.2395324
1573324368.421036 -0.0355364 -0.1472035 -0.2316005 0.1822423
1573324369.354388 -0.0494718 0.2675768 -0.9271808 0.6955803
1573324371.421103 -0.0604296 1.2675140 -1.5639497 0.6367689
1574360526.764085 0.0000000 0.0000000 0.0000000 1.5639497
